Common Name,Scientific Name,Order,Eye Orientation,Canine Development,Molar Type,Jaw Length Ratio,Skull Robustness,Body Size Class,Diet Category,Prey/Plant Type,Habitat (Terrestrial),Social Structure,Activity Pattern,Carnivory Score (0-10),Notes / Distinguishing Features
Leopard Cat,Prionailurus bengalensis,Carnivora,Forward,Large,Carnassial,Short,Gracile,Small,Carnivore,Small mammals+birds,Forest,Solitary,Nocturnal,9,Widespread in Asia; spotted coat
Ruddy Mongoose,Herpestes smithii,Carnivora,Forward,Small,Mixed,Medium,Gracile,Small,Omnivore,Insects+crabs+snakes,Forest,Solitary,Diurnal,5,Endemic to South Asia; reddish coat
Gray Mongoose,Herpestes edwardsii,Carnivora,Forward,Small,Mixed,Medium,Gracile,Small,Omnivore,Insects+eggs+snakes,Generalist,Group,Diurnal,5,Common in South Asia; snake killer
Stripe-necked Mongoose,Herpestes vitticollis,Carnivora,Forward,Small,Mixed,Medium,Gracile,Small,Omnivore,Insects+crabs+snakes,Forest,Solitary,Nocturnal,5,Endemic to Western Ghats/Sri Lanka
Mouse Deer (Chevrotain),Tragulus kanchil,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Leaves+fruit,Forest,Solitary,Nocturnal,0,Smallest hoofed mammal; primitive skull
Four-horned Antelope,Tetracerus quadricornis,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Leaves+shoots,Forest,Solitary,Diurnal,0,Endemic to India/Nepal; males have 4 horns
Indian Giant Squirrel,Ratufa indica,Rodentia,Side,Absent,Lophodont,Medium,Gracile,Medium,Herbivore,Nuts+fruits+bark,Forest,Pair,Diurnal,0,Endemic to India; large; tri-colored
Indian Crested Porcupine,Hystrix indica,Rodentia,Side,Absent,Lophodont,Medium,Moderate,Medium,Herbivore,Roots+bark+tubers,Generalist,Pair,Nocturnal,0,Large quills; gnaws bones for calcium
Slender Loris,Loris tardigradus,Primates,Forward,Small,Bunodont,Medium,Gracile,Small,Insectivore,Insects+gum,Forest,Solitary,Nocturnal,2,Endemic to Sri Lanka/India; huge eyes; slow-moving
Lion,Panthera leo,Carnivora,Forward,Large,Carnassial,Short,Robust,VeryLarge,Carnivore,Large mammals,Savanna,Group,Crepuscular,10,Highly social; mane in males; pride hunter
Tiger,Panthera tigris,Carnivora,Forward,Large,Carnassial,Short,Robust,VeryLarge,Carnivore,Large mammals,Forest,Solitary,Nocturnal,10,Striped coat; largest wild cat; ambush predator
Leopard,Panthera pardus,Carnivora,Forward,Large,Carnassial,Short,Robust,Large,Carnivore,Medium mammals,Forest,Solitary,Nocturnal,10,Spotted; hoists kills into trees
Cheetah,Acinonyx jubatus,Carnivora,Forward,Large,Carnassial,Short,Gracile,Large,Carnivore,Medium mammals,Savanna,Solitary,Diurnal,10,Fastest land animal; non-retractile claws
Jaguar,Panthera onca,Carnivora,Forward,Large,Carnassial,Short,Robust,VeryLarge,Carnivore,Large mammals,Forest,Solitary,Nocturnal,10,Rosettes with spots inside; strongest bite in cats
Cougar,Puma concolor,Carnivora,Forward,Large,Carnassial,Short,Robust,Large,Carnivore,Large mammals,Generalist,Solitary,Crepuscular,10,Also called puma/mountain lion; wide range
Snow Leopard,Panthera uncia,Carnivora,Forward,Large,Carnassial,Short,Robust,Large,Carnivore,Medium mammals,Generalist,Solitary,Crepuscular,10,Long tail for balance; mountain habitat
Lynx,Lynx lynx,Carnivora,Forward,Large,Carnassial,Short,Moderate,Medium,Carnivore,Small mammals,Forest,Solitary,Crepuscular,9,Tufted ears; short tail; snowshoe paws
Bobcat,Lynx rufus,Carnivora,Forward,Large,Carnassial,Short,Moderate,Small,Carnivore,Small mammals,Generalist,Solitary,Crepuscular,9,Spotted coat; short bobbed tail
Wolf,Canis lupus,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Large,Carnivore,Large mammals,Generalist,Group,Crepuscular,9,Pack hunter; howls; ancestor of domestic dog
Coyote,Canis latrans,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Omnivore,Small prey+fruit,Generalist,Pair,Crepuscular,7,Highly adaptable; widespread in North America
Red Fox,Vulpes vulpes,Carnivora,Forward,Large,Carnassial,Medium,Gracile,Small,Omnivore,Rabbits+fruit+insects,Generalist,Pair,Crepuscular,7,Bushy tail; wide habitat range; urban adapter
Fennec Fox,Vulpes zerda,Carnivora,Forward,Large,Carnassial,Medium,Gracile,Small,Omnivore,Insects+small prey,Desert,Pair,Nocturnal,6,Huge ears for heat dissipation; desert adapted
Arctic Fox,Vulpes lagopus,Carnivora,Forward,Large,Carnassial,Medium,Gracile,Small,Omnivore,Lemmings+birds,Generalist,Solitary,Variable,7,Thick white winter coat; short ears
African Wild Dog,Lycaon pictus,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Carnivore,Medium mammals,Savanna,Group,Diurnal,9,Mottled coat; highly social; cooperative hunter
Dingo,Canis lupus dingo,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Carnivore,Medium mammals,Generalist,Group,Crepuscular,8,Australian wild dog; yellow coat
Maned Wolf,Chrysocyon brachyurus,Carnivora,Forward,Large,Mixed,Long,Gracile,Large,Omnivore,Fruit+small mammals,Grassland,Solitary,Nocturnal,5,"Long legs; ""fox on stilts""; South America"
Brown Bear,Ursus arctos,Carnivora,Forward,Large,Mixed,Medium,Robust,VeryLarge,Omnivore,Fish+berries+mammals,Forest,Solitary,Diurnal,6,Hibernates; shoulder hump; wide diet
Polar Bear,Ursus maritimus,Carnivora,Forward,Large,Carnassial,Medium,Robust,VeryLarge,Carnivore,Seals/fish,Generalist,Solitary,Variable,9,White fur; semi-aquatic; Arctic specialist
Black Bear,Ursus americanus,Carnivora,Forward,Large,Mixed,Medium,Moderate,Large,Omnivore,Berries+insects+meat,Forest,Solitary,Diurnal,5,Smaller than brown bear; good tree climber
Sun Bear,Helarctos malayanus,Carnivora,Forward,Small,Mixed,Medium,Moderate,Medium,Omnivore,Honey+fruit+insects,Forest,Solitary,Nocturnal,4,Smallest bear; long tongue; chest patch
Spectacled Bear,Tremarctos ornatus,Carnivora,Forward,Small,Mixed,Medium,Moderate,Medium,Herbivore,Fruit+bromeliads,Forest,Solitary,Nocturnal,2,Only South American bear; facial markings
Giant Panda,Ailuropoda melanoleuca,Carnivora,Forward,Small,Mixed,Short,Robust,Large,Herbivore,Bamboo,Forest,Solitary,Variable,1,Black-white; modified wrist as pseudo-thumb
Spotted Hyena,Crocuta crocuta,Carnivora,Forward,Large,Carnassial,Short,Robust,Large,Carnivore,Large mammals,Savanna,Group,Nocturnal,8,Bone-crushing jaws; matriarchal society
Striped Hyena,Hyaena hyaena,Carnivora,Forward,Large,Carnassial,Short,Robust,Large,Omnivore,Carrion+fruit,Desert,Solitary,Nocturnal,6,Mane along back; scavenger; Middle East/Asia
Brown Hyena,Parahyaena brunnea,Carnivora,Forward,Large,Carnassial,Short,Robust,Large,Omnivore,Carrion+fruit,Desert,Solitary,Nocturnal,6,Shaggy coat; scavenger; Southern Africa
Aardwolf,Proteles cristata,Carnivora,Forward,Small,Mixed,Long,Gracile,Medium,Insectivore,Termites,Savanna,Pair,Nocturnal,2,Hyena relative but eats only termites; weak teeth
Badger,Meles meles,Carnivora,Forward,Large,Mixed,Medium,Robust,Medium,Omnivore,Worms+roots+small prey,Generalist,Solitary,Nocturnal,5,Powerful digger; black-white face stripes
Wolverine,Gulo gulo,Carnivora,Forward,Large,Carnassial,Medium,Robust,Medium,Carnivore,Medium mammals,Forest,Solitary,Variable,9,Extremely strong for size; scent glands
Honey Badger,Mellivora capensis,Carnivora,Forward,Large,Mixed,Medium,Robust,Small,Omnivore,Honey+insects+snakes,Generalist,Solitary,Variable,6,Fearless; tough skin; raids beehives
River Otter,Lontra canadensis,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Carnivore,Fish+crayfish,Aquatic/Generalist,Pair,Variable,8,Sleek body; webbed feet; playful
Sea Otter,Enhydra lutris,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Carnivore,Shellfish+urchins,Coastal,Group,Diurnal,9,Dense fur; uses tools; marine
Mongoose,Herpestes ichneumon,Carnivora,Forward,Small,Mixed,Medium,Gracile,Small,Omnivore,Insects+eggs+snakes,Generalist,Group,Diurnal,5,Fast reflexes; immune to some venoms
Meerkat,Suricata suricatta,Carnivora,Forward,Small,Mixed,Medium,Gracile,Small,Insectivore,Insects+scorpions,Desert,Group,Diurnal,4,Sentinel behaviour; stands upright; mob snakes
Banded Mongoose,Mungos mungo,Carnivora,Forward,Small,Mixed,Medium,Gracile,Small,Omnivore,Insects+small prey,Savanna,Group,Diurnal,5,Highly social; striped back
African Civet,Civettictis civetta,Carnivora,Forward,Large,Mixed,Medium,Moderate,Medium,Omnivore,Fruit+small prey,Forest,Solitary,Nocturnal,5,Musk glands; spotted/striped pattern
Asian Palm Civet,Paradoxurus hermaphroditus,Carnivora,Forward,Large,Mixed,Medium,Moderate,Medium,Omnivore,Fruit+insects,Forest,Solitary,Nocturnal,4,Source of Kopi Luwak coffee; long tail
Binturong,Arctictis binturong,Carnivora,Forward,Large,Mixed,Medium,Moderate,Large,Omnivore,Fruit+small prey,Forest,Solitary,Nocturnal,3,Smells like popcorn; prehensile tail; bearcat
Genet,Genetta genetta,Carnivora,Forward,Large,Mixed,Medium,Gracile,Small,Omnivore,Insects+small prey,Forest,Solitary,Nocturnal,5,Spotted coat; long ringed tail; cat-like
Fossa,Cryptoprocta ferox,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Carnivore,Lemurs+small mammals,Forest,Solitary,Nocturnal,9,Largest carnivore of Madagascar; cat-like
Striped Skunk,Mephitis mephitis,Carnivora,Forward,Small,Mixed,Medium,Moderate,Small,Omnivore,Insects+fruit+eggs,Generalist,Solitary,Nocturnal,4,Musk spray defence; black-white
Raccoon,Procyon lotor,Carnivora,Forward,Small,Mixed,Medium,Moderate,Small,Omnivore,Fruit+invertebrates,Forest,Solitary,Nocturnal,4,Masked face; dexterous front paws
Coati,Nasua nasua,Carnivora,Forward,Small,Mixed,Medium,Moderate,Medium,Omnivore,Fruit+insects+small prey,Forest,Group,Diurnal,4,Long snout; ringed tail; social
Kinkajou,Potos flavus,Carnivora,Forward,Small,Mixed,Medium,Moderate,Medium,Omnivore,Fruit+honey,Forest,Solitary,Nocturnal,2,"Prehensile tail; ""honey bear""; arboreal"
African Elephant,Loxodonta africana,Proboscidea,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Grasses+bark+leaves,Savanna,Herd,Diurnal,0,Largest land animal; large ears; tusks
Indian Elephant,Elephas maximus indicus,Proboscidea,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Grasses+bark+leaves,Forest,Herd,Diurnal,0,Smaller than African; single dome head
White Rhinoceros,Ceratotherium simum,Perissodactyla,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Grasses,Savanna,Pair,Diurnal,0,Two horns; wide square lip; grazer
Black Rhinoceros,Diceros bicornis,Perissodactyla,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Leaves+shrubs,Savanna,Solitary,Nocturnal,0,Hooked lip; browser; more aggressive
Indian Rhinoceros,Rhinoceros unicornis,Perissodactyla,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Grasses+leaves,Grassland,Solitary,Crepuscular,0,Single horn; armor-plated skin folds
Javan Rhinoceros,Rhinoceros sondaicus,Perissodactyla,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Leaves+shoots,Forest,Solitary,Nocturnal,0,Critically endangered; single small horn
Sumatran Rhinoceros,Dicerorhinus sumatrensis,Perissodactyla,Side,Absent,Lophodont,Long,Moderate,Medium,Herbivore,Leaves+fruit,Forest,Solitary,Nocturnal,0,Smallest rhino; two horns; hairy
Hippopotamus,Hippopotamus amphibius,Artiodactyla,Side,Large,Mixed,Long,Robust,VeryLarge,Herbivore,Grasses,Savanna,Group,Nocturnal,1,Semi-aquatic; huge canines for fighting not eating
Pygmy Hippopotamus,Choeropsis liberiensis,Artiodactyla,Side,Large,Mixed,Long,Moderate,Medium,Herbivore,Leaves+grasses,Forest,Solitary,Nocturnal,1,Smaller; less aquatic; solitary
Wild Boar,Sus scrofa,Artiodactyla,Side,Large,Bunodont,Medium,Robust,Large,Omnivore,Roots+acorns+worms,Forest,Group,Crepuscular,3,Tusks; rooting snout; bristly coat
Domestic Pig,Sus scrofa domesticus,Artiodactyla,Side,Large,Bunodont,Medium,Robust,Large,Omnivore,Varied,Generalist,Group,Diurnal,3,Domesticated; highly intelligent; omnivorous
Common Warthog,Phacochoerus africanus,Artiodactyla,Side,Large,Mixed,Medium,Robust,Large,Omnivore,Grass+roots+bark,Savanna,Group,Diurnal,2,Facial warts; kneels to graze; tusks
Babirusa,Babyrousa babyrussa,Artiodactyla,Side,Large,Bunodont,Medium,Moderate,Medium,Omnivore,Fruit+roots,Forest,Group,Diurnal,2,"Upward-curving upper tusks; ""pig-deer"""
Red River Hog,Potamochoerus porcus,Artiodactyla,Side,Large,Bunodont,Medium,Moderate,Medium,Omnivore,Roots+fruit+insects,Forest,Group,Nocturnal,2,Reddish coat; white facial markings
Domestic Cow,Bos taurus,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Domesticated; ruminant; horns variable
Water Buffalo,Bubalus bubalis,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses+aquatic plants,Generalist,Herd,Diurnal,0,Semi-domesticated; large curved horns
Wild Water Buffalo,Bubalus arnee,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses+aquatic plants,Generalist,Herd,Diurnal,0,Ancestor of domestic buffalo; massive horns
Yak,Bos grunniens,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses+lichens,Grassland,Herd,Diurnal,0,Long shaggy hair; high altitude; domesticated
Bison,Bison bison,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Massive shoulder hump; short curved horns
European Bison,Bison bonasus,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses+leaves,Forest,Herd,Diurnal,0,Slightly smaller than American bison; taller
Cape Buffalo,Syncerus caffer,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses,Savanna,Herd,Diurnal,0,Fused horn boss; unpredictable temperament
Forest Buffalo,Syncerus caffer nanus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Leaves+grasses,Forest,Group,Diurnal,0,Smaller; reddish coat; smaller horns
Gaur,Bos gaurus,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses+leaves,Forest,Herd,Diurnal,0,Largest wild bovine; massive dorsal ridge
Banteng,Bos javanicus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Forest,Herd,Diurnal,0,"White ""stockings""; white rump patch"
Kouprey,Bos sauveli,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses,Forest,Herd,Diurnal,0,Critically endangered; wispy tail; Cambodia
Saola,Pseudoryx nghetinhensis,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Leaves+shoots,Forest,Solitary,Crepuscular,0,"Asian unicorn; long straight horns; rare"""
Chinkara (Indian Gazelle),Gazella bennettii,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Grasses+leaves,Desert,Group,Diurnal,0,Desert adapted; slender build
Springbok,Antidorcas marsupialis,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Grasses+leaves,Grassland,Herd,Diurnal,0,National animal of South Africa; pronking
Impala,Aepyceros melampus,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Grasses+leaves,Savanna,Herd,Diurnal,0,Lyre horns in males; leaps high when fleeing
Thomson's Gazelle,Eudorcas thomsonii,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Grasses+leaves,Savanna,Herd,Diurnal,0,Flank stripe; pronking; fast runner
Grant's Gazelle,Nanger granti,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Grasses+leaves,Savanna,Herd,Diurnal,0,Larger than Thomson's; white rump
Gerenuk,Litocranius walleri,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Leaves+shoots,Savanna,Group,Diurnal,0,Long neck; stands on hind legs to browse
Dik-dik,Madoqua kirkii,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Leaves+shoots,Savanna,Pair,Variable,0,Tiny; elongated snout; monogamous
Oryx,Oryx gazella,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+shrubs,Desert,Herd,Diurnal,0,Long straight horns; desert adapted
Addax,Nasormac addax,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses,Desert,Herd,Diurnal,0,Spiral horns; white coat; critically endangered
Bongo,Tragelaphus eurycerus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Leaves+shoots,Forest,Group,Nocturnal,0,Reddish coat; white stripes; spiral horns
Nyala,Tragelaphus angasii,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Leaves+shoots,Forest,Group,Variable,0,Males have spiral horns; white stripes
Greater Kudu,Tragelaphus strepsiceros,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Leaves+shrubs,Forest,Group,Crepuscular,0,Spiral horns; white stripes; browser
Lesser Kudu,Tragelaphus imberbis,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Leaves+shoots,Forest,Group,Crepuscular,0,Smaller; tighter spiral horns; no dewlap
Eland,Taurotragus oryx,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Leaves+grasses,Savanna,Herd,Diurnal,0,Largest antelope; dewlap; both sexes horned
Wildebeest,Connochaetes taurinus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses,Savanna,Herd,Diurnal,0,Great migration; gnu; curved horns
Muskox,Ovibos moschatus,Artiodactyla,Side,Absent,Selenodont,Long,Robust,Large,Herbivore,Grasses+lichens,Grassland,Herd,Diurnal,0,Thick shaggy coat; Arctic; defensive circles
Takin,Budorcas taxicolor,Artiodactyla,Side,Absent,Selenodont,Long,Robust,Large,Herbivore,Leaves+shoots,Forest,Group,Diurnal,0,Goat-antelope; large nose; Himalayan
Markhor,Capra falconeri,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Generalist,Group,Diurnal,0,Spectacular corkscrew horns; Pakistan
Bharal (Blue Sheep),Pseudois nayaur,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,Himalayan; intermediate between sheep and goats
Argali,Ovis ammon,Artiodactyla,Side,Absent,Selenodont,Long,Robust,Large,Herbivore,Grasses,Grassland,Group,Diurnal,0,Largest wild sheep; massive curved horns
Urial,Ovis vignei,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Grasses,Grassland,Group,Diurnal,0,Long curved horns; reddish coat
Mouflon,Ovis gmelini,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Grasses,Grassland,Group,Diurnal,0,Ancestor of domestic sheep; short horns
Dall Sheep,Ovis dalli,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Grasses,Grassland,Group,Diurnal,0,All-white coat; North America
Bighorn Sheep,Ovis canadensis,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses,Grassland,Group,Diurnal,0,Massive curled horns; North America
Mountain Goat,Oreamnos americanus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,Not a true goat; white shaggy coat; cliffs
Ibex,Capra ibex,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,Massive backward-curving horns; mountains
Chamois,Rupicapra rupicapra,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Grasses+lichens,Grassland,Group,Diurnal,0,Hooked horns; agile mountain climber
Tahr,Hemitragus jemlahicus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Grassland,Group,Diurnal,0,Shaggy coat; Himalayan; wild goat relative
Goral,Naemorhedus goral,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Grasses+leaves,Grassland,Group,Diurnal,0,Small; goat-antelope; short horns
Serow,Capricornis sumatraensis,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Leaves+shoots,Forest,Solitary,Variable,0,Goat-antelope; shaggy; Southeast Asia
Red Deer,Cervus elaphus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+leaves,Forest,Herd,Crepuscular,0,Branched antlers in males; roaring rut
Fallow Deer,Dama dama,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Grasses+leaves,Forest,Herd,Diurnal,0,Palmate antlers; spotted or dark variants
Roe Deer,Capreolus capreolus,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Small,Herbivore,Leaves+shoots,Forest,Solitary,Crepuscular,0,Small; short antlers; European
Moose (Elk),Alces alces,Artiodactyla,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Leaves+aquatic plants,Forest,Solitary,Crepuscular,0,Largest deer; palmate antlers; dewlap
Reindeer (Caribou),Rangifer tarandus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Lichen+grasses,Generalist,Herd,Diurnal,0,Both sexes have antlers; migrates
White-tailed Deer,Odocoileus virginianus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Leaves+shoots,Forest,Group,Crepuscular,0,White underside of tail; North America
Mule Deer,Odocoileus hemionus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Medium,Herbivore,Leaves+shoots,Generalist,Group,Crepuscular,0,Large ears; bifurcated tail; North America
Hog Deer,Axis porcinus,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Grasses+leaves,Generalist,Solitary,Crepuscular,0,Runs with head low like a pig; Asia
Barking Deer (Muntjac),Muntiacus muntjak,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Leaves+fruit+shoots,Forest,Solitary,Crepuscular,0,Small tusks in males; barks like a dog
Water Deer,Hydropotes inermis,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Grasses+reeds,Generalist,Solitary,Crepuscular,0,No antlers; long upper canines (tusks)
Tufted Deer,Elaphodus cephalophus,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Leaves+shoots,Forest,Solitary,Crepuscular,0,Small crest of hair; short antlers; China
Musk Deer,Moschus moschiferus,Artiodactyla,Side,Absent,Selenodont,Medium,Gracile,Small,Herbivore,Leaves+shoots,Forest,Solitary,Nocturnal,0,No antlers; long upper canines; musk pod
